city,date,aqi,pm25,pm10,no2,so2,o3,co,data_quality,aqi_yesterday,pm25_lag1,pm10_lag1,so2_lag1,no2_lag1,pm25_lag1_sq,aqi_7day_avg,aqi_30day_avg,aqi_3day_avg,aqi_momentum,aqi_3day_change,aqi_target,month,is_winter,is_monsoon,is_industrial_peak,winter_industrial
Angul,2019-01-02,224.01,105.07,154.26,38.08,23.13,19.86,1.57,synthetic_nonlinear,231.55,113.78,153.44,24.73,39.8,12945.8884,231.55,,231.55,0.0,0.0,258.82,1,1,0,1,1
Angul,2019-01-03,258.82,132.07,175.04,45.97,26.56,22.7,1.83,synthetic_nonlinear,224.01,105.07,154.26,23.13,38.08,11039.704899999999,227.78,,227.78,-3.7700000000000102,-3.7700000000000102,288.96,1,1,0,1,1
Angul,2019-01-04,288.96,156.93,200.09,51.23,32.13,26.82,2.03,synthetic_nonlinear,258.82,132.07,175.04,26.56,45.97,17442.4849,238.12666666666667,,238.12666666666667,20.693333333333328,20.693333333333328,255.99,1,1,0,1,1
Angul,2019-01-05,255.99,126.67,168.84,40.79,27.69,22.81,1.79,synthetic_nonlinear,288.96,156.93,200.09,32.13,51.23,24627.0249,250.83499999999998,,257.2633333333333,38.125,31.69666666666666,259.41,1,1,0,1,1
Angul,2019-01-06,259.41,128.08,180.26,43.93,28.06,23.18,1.81,synthetic_nonlinear,255.99,126.67,168.84,27.69,40.79,16045.2889,251.86599999999999,,267.92333333333335,4.124000000000024,-11.933333333333337,326.54,1,1,0,1,1
Angul,2019-01-07,326.54,190.48,228.85,57.51,38.07,29.88,2.29,synthetic_nonlinear,259.41,128.08,180.26,28.06,43.93,16404.4864,253.12333333333333,,268.12000000000006,6.28666666666669,-8.710000000000036,314.69,1,1,0,1,1
Angul,2019-01-08,314.69,173.31,220.7,51.44,35.1,27.55,2.22,synthetic_nonlinear,326.54,190.48,228.85,38.07,57.51,36282.630399999995,263.6114285714286,263.6114285714286,280.6466666666667,62.928571428571445,45.89333333333332,295.6,1,1,0,1,1
Angul,2019-01-09,295.6,161.17,210.84,51.48,31.53,26.67,2.07,synthetic_nonlinear,314.69,173.31,220.7,35.1,51.44,30036.3561,275.48857142857145,269.99625000000003,300.21333333333337,39.20142857142855,14.476666666666631,266.51,1,1,0,1,1
Angul,2019-01-10,266.51,132.19,170.11,44.74,28.48,23.23,1.83,synthetic_nonlinear,295.6,161.17,210.84,31.53,51.48,25975.768899999995,285.71571428571434,272.8411111111111,312.27666666666664,9.884285714285681,-16.67666666666662,325.54,1,1,0,1,1
Angul,2019-01-11,325.54,189.47,227.5,56.19,36.94,30.28,2.27,synthetic_nonlinear,266.51,132.19,170.11,28.48,44.74,17474.1961,286.8142857142857,272.20799999999997,292.26666666666665,-20.304285714285697,-25.75666666666666,324.42,1,1,0,1,1
